OD (in),Length (in),Rate (lbs/in),Initial Tension (lbs),Sugg. Max. Defl. (in),Sugg. Max. Load (lbs),Wire Dia. (in)
0.734,2,88,12,0.43,50,0.105
0.75,6.5,5.9,6,4.2,31,0.091
1.062,7,3.7,5,7.6,33,0.105
1,7.5,4.4,6,6.6,35,0.105
1.125,7.5,1.3,3,13,20,0.091
0.312,4,2.4,2,2.8,8.1,0.041
0.375,4.5,2.4,2,3.5,10,0.047
0.437,4.5,0.68,0.7,7,5.5,0.041
0.375,4.5,0.26,0.3,14,4,0.031
0.188,5,0.44,0.4,6.9,3.5,0.023
0.312,3,0.41,0.3,7.8,3.5,0.028
0.25,3,0.9,0.5,4.4,4.4,0.028
0.375,1.5,43,6,0.39,23,0.062
0.375,3.5,14,6,1.2,23,0.062
0.437,8.5,0.73,1,9.9,8.4,0.047
0.437,8.5,1.5,2,6.7,12,0.054
0.437,8.5,7.3,8,2.9,29,0.072
0.5,8.5,0.46,0.9,14,7.2,0.047
0.5,8.5,0.94,2,9.3,10,0.054
2,7.5,18,23,5.4,122,0.208
0.453,3.88,2,2,3.8,9.2,0.05
0.375,2.69,4.1,2,2,10,0.047
0.703,2.63,53,15,0.81,58,0.108
0.437,5.88,4.6,4,3.2,19,0.062
0.437,5.81,4.3,4,3.3,18,0.061
1.031,12.8,7.7,16,7.2,72,0.135
0.64,5.81,6,6,3.8,28,0.082
0.437,3,3.1,2,2.6,9.6,0.05
0.312,3.91,2,1,3,7.5,0.04
1.156,9,2.6,0,11,29,0.109
1,8.5,1.9,4,11,25,0.094
2,13.5,8,22,12,116,0.205
1,8.13,4,6,7.4,35,0.105
0.75,7.88,10,12,3.9,51,0.106
0.5,12,1.8,4,8.6,19,0.065
0.5,3.91,4.3,3,3,15,0.061
0.656,5.5,1.6,2,7.2,13,0.064
0.375,7.88,0.99,1,7.4,8.8,0.045
0.625,7.94,2.4,4,6.7,20,0.073
0.75,4.38,12,8,2.5,37,0.096
1.25,7.25,88,71,1.7,222,0.21
0.39,7.88,0.53,0.9,10,6.2,0.041
0.5,9.88,1.8,3,7.6,17,0.063
0.765,2.47,8.4,3,2,20,0.079
0.5,9.75,1.7,3,7.8,16,0.062
0.562,5.44,8.7,7,2.7,31,0.08
0.765,2.5,9.4,4,2,22,0.081
0.64,9.88,1.7,3,9.3,19,0.072
0.5,4.38,4.1,3,3.2,16,0.062
0.75,2.38,43,11,0.89,50,0.105
0.625,11.8,1.5,3,11,19,0.072
0.593,3.75,6.8,4,2.5,21,0.073
0.5,6,3.1,3,4.4,17,0.063
0.718,3.25,67,23,0.83,78,0.12
0.515,4,8.6,5,2.1,23,0.071
0.562,3.75,3.4,2,3.5,14,0.062
0.953,5.75,13,12,3.3,56,0.12
0.375,5.81,1.7,2,4.8,10,0.047
0.281,6,0.89,1,5.1,5.5,0.035
0.312,1.75,2.5,0.8,1.6,4.9,0.035
0.968,5.66,15,13,3.2,59,0.12
0.734,8,7,9,4.6,41,0.098
0.515,3.78,36,15,0.95,49,0.091
0.578,7.75,3.8,5,5.1,24,0.075
0.515,11.8,1.3,3,10,16,0.062
0.953,3.75,24,12,1.9,57,0.121
0.531,4,10,6,2,27,0.075
0.718,3.19,82,26,0.74,87,0.124
0.5,6,2.4,3,5,15,0.06
0.765,1.84,0.17,0.1,10,1.8,0.034
0.75,5.75,9.5,9,3.3,40,0.098
0.75,2.59,38,11,1,50,0.105
0.562,8.5,0.64,1,12,9.2,0.054
0.562,8.5,1.4,2,8.6,14,0.062
0.375,1.41,6.8,1,1,8.3,0.045
0.188,0.63,9.4,0.7,0.43,4.8,0.026
0.188,1.44,48,6,0.31,21,0.042
0.812,3.13,72,20,0.77,76,0.125
0.593,1.81,8.1,2,1.5,14,0.063
1,9.5,12,18,4.7,75,0.135
0.562,8.5,5.5,7,4.3,31,0.08
0.5,16,0.42,2,20,9.9,0.054
0.625,8.5,0.95,2,11,13,0.062
0.188,1.13,4.3,0.7,0.63,3.4,0.026
0.625,8.5,2.1,3,7.3,19,0.072
0.625,8.5,7.7,9,3.8,39,0.091
0.687,8.5,0.71,1,14,11,0.062
0.75,8.5,1.2,2,11,16,0.072
0.75,8.5,2.1,4,8.6,22,0.08
0.812,8.5,0.42,1,21,9.6,0.062
0.812,8.5,0.92,2,14,14,0.072
0.812,8.5,1.6,3,10,20,0.08
0.812,8.5,3.2,5,7.3,29,0.091
0.875,8.5,0.33,0.9,24,8.8,0.062
0.875,8.5,1.3,3,12,18,0.08
0.875,8.5,5.4,8,6.1,41,0.105
0.938,8.5,0.59,1,19,12,0.072
0.938,8.5,1.1,2,14,17,0.08
0.938,8.5,2,4,10,24,0.091
0.938,8.5,4.4,7,7.1,38,0.105
1,8.5,0.86,2,16,16,0.08
1,8.5,1.7,3,12,23,0.091
1,8.5,7.7,11,5.4,52,0.12
1.062,8.5,0.69,2,19,15,0.08
1.062,8.5,1.4,3,13,21,0.091
0.25,5,0.84,0.8,4.4,4.5,0.031
0.375,4,0.47,0.5,7.3,3.9,0.034
0.14,1.5,0.6,0.2,2.3,1.6,0.016
0.14,1.88,0.47,0.2,3,1.6,0.016
0.14,2.5,0.34,0.2,4.1,1.6,0.016
0.156,1.5,1.5,0.3,1.7,2.7,0.02
0.156,1.88,1.1,0.3,2.2,2.7,0.02
0.156,2.5,0.81,0.3,3,2.7,0.02
0.188,1.5,0.17,0.07,5.1,0.94,0.015
0.188,1.88,0.13,0.07,6.7,0.94,0.015
0.188,2.5,0.09,0.07,9.3,0.94,0.015
0.188,1.5,0.23,0.09,4.5,1.1,0.016
0.188,1.88,0.18,0.09,5.9,1.1,0.016
0.188,2.5,0.14,0.09,7.8,1.1,0.016
0.188,1.5,2.6,0.6,1.4,4.2,0.025
0.188,1.88,2,0.6,1.8,4.2,0.025
0.188,2.5,1.5,0.6,2.5,4.2,0.025
0.219,1.5,0.15,0.06,6.1,0.98,0.016
0.219,1.88,0.11,0.06,8,0.98,0.016
0.219,2.5,0.08,0.06,11,0.98,0.016
0.219,1.5,0.49,0.2,3.6,1.9,0.02
0.219,1.88,0.37,0.2,4.7,1.9,0.02
0.219,2.5,0.27,0.2,6.6,1.9,0.02
0.219,1.5,1.1,0.3,2.4,2.9,0.023
0.219,1.88,0.79,0.3,3.4,2.9,0.023
0.219,2.5,0.56,0.3,4.7,2.9,0.023
0.25,1.5,0.07,0.04,9.4,0.71,0.015
0.25,1.88,0.05,0.04,13,0.71,0.015
0.25,2.5,0.04,0.04,17,0.71,0.015
0.25,1.5,0.32,0.1,4.8,1.7,0.02
0.25,1.88,0.25,0.1,6.4,1.7,0.02
0.25,2.5,0.17,0.1,9,1.7,0.02
0.25,1.5,0.7,0.2,3.3,2.5,0.023
0.25,1.88,0.51,0.2,4.5,2.5,0.023
0.25,2.5,0.37,0.2,6.3,2.5,0.023
0.281,1.5,0.07,0.04,10,0.77,0.016
0.281,1.88,0.06,0.04,13,0.77,0.016
0.281,2.5,0.04,0.04,19,0.77,0.016
0.281,1.5,0.74,0.2,3.4,2.8,0.025
0.281,1.88,0.54,0.2,4.7,2.8,0.025
0.281,2.5,0.39,0.2,6.5,2.8,0.025
0.312,1.5,0.17,0.07,7.7,1.4,0.02
0.312,1.88,0.13,0.07,10,1.4,0.02
0.312,2.5,0.09,0.07,15,1.4,0.02
0.312,1.5,0.54,0.2,4.3,2.5,0.025
0.312,1.88,0.4,0.2,5.7,2.5,0.025
0.312,2.5,0.28,0.2,8.1,2.5,0.025
0.312,1.5,0.35,0.1,5.5,2,0.023
0.312,1.88,0.26,0.1,7.4,2,0.023
0.312,2.5,0.18,0.1,10,2,0.023
0.343,1.5,0.4,0.2,5.2,2.3,0.025
0.343,1.88,0.31,0.2,6.8,2.3,0.025
0.343,2.5,0.21,0.2,9.8,2.3,0.025
0.343,1.5,0.81,0.2,3.6,3.2,0.028
0.343,1.88,0.59,0.2,5,3.2,0.028
0.343,2.5,0.4,0.2,7.3,3.2,0.028
0.125,1.5,1.7,0.4,1.3,2.5,0.018
0.125,1.88,1.3,0.4,1.6,2.5,0.018
0.125,2.5,0.96,0.4,2.2,2.5,0.018
0.25,1.5,6.4,1,1.1,8.4,0.035
0.25,1.88,4.7,1,1.5,8.4,0.035
0.25,2.5,3.5,1,2.1,8.4,0.035
0.312,1.5,0.05,0.03,13,0.69,0.016
0.312,1.88,0.04,0.03,17,0.69,0.016
0.312,2.5,0.03,0.03,24,0.69,0.016
0.437,1.5,0.54,0.1,4.4,2.5,0.028
0.437,1.88,0.3,0.1,7.8,2.5,0.028
0.437,2.5,0.18,0.1,13,2.5,0.028
0.437,1.5,6.2,1,1.6,11,0.047
0.437,1.88,4.3,1,2.3,11,0.047
0.437,2.5,3,1,3.4,11,0.047
1.062,3.5,37,15,1.4,69,0.135
0.938,3,7.8,4,2.6,24,0.091
0.625,3.25,110,32,0.56,94,0.12
0.75,2.5,5.6,2,2.4,16,0.072
0.375,6.5,1.6,2,5.3,10,0.047
0.75,4,5.2,4,3.5,22,0.08
0.75,5,36,21,1.5,74,0.12
0.75,6,3,4,6,22,0.08
0.75,2.75,81,21,0.66,74,0.12
0.625,3,3.6,2,3,13,0.062
0.5,1.63,17,3,0.78,16,0.062
0.5,6,12,9,2.2,35,0.08
0.125,1.5,0.07,0.03,6,0.46,0.01
0.125,1.5,0.19,0.06,3.8,0.8,0.012
0.125,1.5,0.65,0.2,2,1.4,0.015
0.094,1,0.29,0.06,2,0.62,0.01
0.094,1,0.75,0.1,1.3,1.1,0.012
0.094,1,2.6,0.3,0.63,1.9,0.015
0.437,9.5,2.8,4,5.3,19,0.062
